tweet,label,sentiment
kako be shark but wo ti ewu,negative,0
br ne bayie nti na me supporti man city,negative,0
s3 woofis3 mada wafutuo tantan no 3y3wo s3mafa dabiaa mekaewos3 menny3 celebrity s3 wodidimat3ma menso m3yeya wo nana,negative,0
wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ,negative,0
enfa bi da bra 🤣🤣,negative,0
messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu,negative,0
gyae gyae na menk bi da,negative,0
ah😂😂😂 na wiegyimi anaaa,negative,0
3nea wani ny3 wosuro a bo wo team din wo team ne papa mu nono,negative,0
na steph curry no wegyimi anaa,negative,0
1 minute biaaa na broken heart nam mu🤣🤣,negative,0
saaaa na we wu,negative,0
owura na yesu de3 anka bet fa woho b3n,negative,0
me bo efu paa😂😂,negative,0
wo nyɛ papa wo🤣🤣🤣,negative,0
de gea +1 1 odwan,negative,0
nyame bɛtua npp ka eii,negative,0
lionel messi papa team ben wab da 😂😂,negative,0
eiii na rydee na broken heart yi,negative,0
wodeɛ sɛ wano checki hwɛ 😁,negative,0
aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b3 tua mo ka paaaaaa branding b3n nie,negative,0
but agradaa ankasa ne trim b3y3 den oo hw human fi fake so,negative,0
masa wo boa koraaa 😅,negative,0
mbelesem dem aaaaa na new year ababankye,negative,0
blacko gyai gyimii no cos u belong to god not karishika 😡,negative,0
twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ,negative,0
3ka aba fie 🙆‍♂️ sika no ahye 😅,negative,0
kyerese heaven mpo bo wo ewiese eehu o,negative,0
otan hunu ara kwa,negative,0
asem b3ba da bi,negative,0
trumu tanka nti you are crushing 😂😂😂 ei alhaji,negative,0
obi nse kofi taylor s3 ne gyimie nu 3ka s3n,negative,0
nyame b3tua wonso kasia to 😂😁😊,negative,0
krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift,negative,0
alatafo mma br3 o piii atwa mu 40 mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu,negative,0
asw3 wagyimie oooo eeiiii mey3m mpo ashi me s3naa ebi didi bi akyi😂😂😂😂😂😂😂 eeiii kweku picaso,negative,0
wo y3 nipa b3n,negative,0
akkoa yi ti ate oo 😂😂😂,negative,0
s3 eny3 nsem bi a anka ka nokware s33 chelsea nso y3 team mpo anaa 🙄 🤧🤧🤧 mu sore a dede hunu nkoaa ene mun3 🤣🤣🤣🤣🤣🤣🤣🤣,negative,0
eeii bossu obaa nti wo ka nkwasiasem 🙄,negative,0
oh tsw dierr hoh tsw ya register wiasim ha niama nyinaaasika sei saaa ghana beyond aid no registration faho b3n,negative,0
wo naa yenp3 wo deda wo b3 sre sika akokor photo if you dont,negative,0
wo maame trumu korrrrr aboa,negative,0
saa werner no wagyimi anaa,negative,0
saka3nka arsenal player enso de3 european trophy fa wo ho ben,negative,0
y3 na y3 bl3 oo 😂😂😂,negative,0
nyansa baako sei nni ger yi trim ad3n aa 6packs and money 😂😂,negative,0
ay3 ka wonna enemys get we ooooo 3ny3 nkwasiafo politicians yiaa anka alatafo nso y3 nipa,negative,0
mtcheww sei na nnwom te3,negative,0
ruth p3 kasa dodou be kasa gyan anaa,negative,0
brofo no wo fom waaa,negative,0
them y3ti sika so us na sika no w hi,negative,0
ad3n woy3 bayifoc na wotw3 asei,negative,0
handouts no nkoaa🤣🤣🤣 dem go tell u say ibi 7 courses na baako bia y3 40gh y33bl3 oo,negative,0
akoa yale wo tee dase abr3 aaa na wama wo kora so,negative,0
😂😂😂😂😂😂 ah kwame sabi ɛnti nkwasia keka yi wongyae,negative,0
3ny3 yie gye woahom papa lawyer wae abrony3foyi w mo redzi aboree ara ewu,negative,0
medikal ankasa ne rap nyinaaa as3 ne ho balike hes cumin gidigidi nkooaaa,negative,0
y3 yenaa y3 rap nanso esono obiaa ene be bo enti masa dwag me me,negative,0
obi nka kyere kofi taylor s3 ne gyimi no 3ka s3n,negative,0
team wey your starting point guard be pat berv deɛ mo nyɛ papa bia saa,negative,0
kwaku frimpong de asem aba ewie,negative,0
nea aka no nnyɛ i know paaa lol,negative,0
masa masa gyae ruff atalanta na asa ntiaa,negative,0
eeiii bla wo blɛ papa,negative,0
saara nso na wote ɔman nu mu na sɛ wodi ntoro gu ɔman no ho fi a wo yɛ ɔmanbɔ fuɔ,negative,0
wo maame ne tw3ba,negative,0
ade3 yi ahye me awurade🥲,negative,0
obaa na wode no toto nyame eeeii case nehu oo,negative,0
herh fa wo gyimie fri ha k,negative,0
masa yɛ stɛdi wɔ hɔ😂😂😂,negative,0
rasta de3 anka school fa wo ho b3n reggae ne dancehall 3w h ooo nanso rasta se daabi b3k school 😂😂😂,negative,0
wohunu ahoufe a wo gyimi da 😃,negative,0
wo ne wo crew no nyinaa mo y3 mmoa,negative,0
wuni sika nso wup3 tw3 mona mubl3 🤣,negative,0
sika nahye sika no ahye 🤣🤣🤣💔,negative,0
adwaman ay3 wo sei ram eiiii🤔🤔,negative,0
eeii marketing yi dierr 3nfa oo🌚🦦,negative,0
hwɛ 😂😂😂😂 agorɔ wɔ wani so,negative,0
3y3 wo s3 mada wafutuo tantan no 3y3 wo s3 mafa,negative,0
ohh papap jm mi dɔ wo paa nanso vaccine woe diɛ mingye ɛndɛ ɛngye ɔkyina apoootoɔɔ adɛn nti na ghana ni diɛ no fɔr no anhwihwɛ mu ɛnwie ansa adɛn nti nna yɛngyi yɛnho di kakraa mpo yei adɛn,negative,0
aane oo nana 😂😂 yabr3 ne cedi no,negative,0
anka wawu kwasia wuo y3 b3 sie wo kwasia sie,negative,0
afei deɛ atra me,negative,0
fire 🔥 them paa milo no asa,negative,0
yaa pono dey insult kumasi musicians after beyonce wo ni kumasi fu ne 3y3 track,negative,0
efie ne fie me ntumi nfrimu ɔman no sɛi aa yɛn nyinaa yɛ ti mu ashi me aa ashi me aa ashi me aa nso me ntumi nfrimu independence became dependency🤫,negative,0
blacko gyai gyimii no cos u belong to god not karishika 😡,negative,0
nyansa ni baako ho 3den ky3n agyimifo 40 🤣 charles taylor,negative,0
yɛte sika so nso ɛkom de yɛn hmmm talk is cheap indeed,negative,0
wo na woo blɛ,negative,0
nipa mu dwan b3hy3 ma y3nhw3,negative,0
a whole dr na wagyimi sei 😂😂😂😂😂,negative,0
friday anopa vawulence 🔥🔥🔥 hwɛ ne fɛ,negative,0
yɛn mmom na yɛblɛ eii🤣🤣🤣🤣,negative,0
cry more kwasiampanin ɛmpɛ adwuma bi nnyɛ den dey do follow back n errand boy give some gyimigyimj rasta,negative,0
na obiaaa wo yɛ oil and gas deɛ nka poodle puppies fa wo ho bɛn🤣🤣,negative,0
fa fri y3n so ooo 😂😂😂we dey want food,negative,0
wontuni nka nkwasiasem saa 3nkyer3 papa panyin tes3 me wate s3 3kom de me a mpena no na m3di ong,negative,0
hmmm ɛyɛ asɛm oo bra,negative,0
mo de yesu christo saa na oman no asei,negative,0
ad3n wo na wuro dross no anaaa,negative,0
3nsi omo yie da,negative,0
3y3 twaso wae fa me si ha yi ara,negative,0
barcelona fan nso dierr anka champions league fa woho ben 😂😂,negative,0
oh ein boss sarkodie ankasa dey steal lines na fanbasedem di33 dem go love steal ghana ankasa mpo,negative,0
jordan jordan jordan ah woteetee me oo,negative,0
ken agyapong dze agyes3 nsem a no ho nhyiaa nkoaaa na ka boaa namu du,negative,0
ato me da ɔkwasea hwoa,negative,0
krom aye shi ooh aban tua salaries y3,negative,0
kofi di asɛm bɛba,negative,0
masa masa fa wo gyimii k tchww,negative,0
kaly really for gyaigyimii na adoosoo,negative,0
your team lpool nu egu ooo liverpool ama sika nu ashi,negative,0
no gyimie3 dating nso de3 nka account logins fa hoo b3n 😂,negative,0
bɛma di wo fie asem wani tra wani tɔnn aa wobɛ nya asem asem mpɛ nipa nipa na ɛpɛ ne ho asɛm shɛ wo dan mu nyɛ saa na wobɛ ka me aa wobɛ nya asem 🔥🔥🔥,negative,0
wani bey3 wo ya,negative,0
nanso sika no hm,negative,0
ad3n na ebibifo mo mp3 nokr3 saa🤷🏿‍♂️,negative,0
dwene wo team ho wo team no ayɛ sɛ ashaiman frefre kɔ bɔ🤣🤣,negative,0
forget this hypocrite nana toaso kum y3 nyinaa nafa oman nu ko adaka mu god will judge you,negative,0
oh gyae mes3 wa dawgi me,negative,0
fa wo gyimii kc,negative,0
timo werner akoa yi asa,negative,0
inserts snap audio mese s3 sasabonsam no po y3 loose koraa po a b3pick no this boy med nyankopn herhh,negative,0
bra enfa na gyae,negative,0
sika no de3 ahyie in advance 😂,negative,0
